cau,tap,lop_dung,dich,nhanh,lop_thuc_te,dung_lop
Ăn xong muốn cái gì mát mát tự nhiên thì có không?,tri thức,truy hồi,fresh_fruit,knowledge_corpus:embedding,truy hồi,True
"Mình người Bắc, ăn gì cho hợp khẩu vị quê?",tri thức,truy hồi,hanoi_and_north,filter,lọc nhãn,False
"Mình vừa đi Tây Nguyên về, thèm vị đó thì gọi gì?",tri thức,truy hồi,highlands_danang,knowledge_corpus:embedding,truy hồi,True
Nhóm sáu người ăn nồi nào cho vừa?,tri thức,truy hồi,hotpot_choosing,knowledge_corpus:embedding,truy hồi,True
"Mình ăn cay giỏi, muốn thử vị miền Trung thật đậm",tri thức,truy hồi,hue_and_central,filter,lọc nhãn,False
"Muốn cái gì mát mà rẻ, không phải trà sữa",tri thức,truy hồi,juice_and_smoothie,item_detail,lọc nhãn,False
"Buổi trưa đi làm về, ăn nhanh gọn thì set nào?",tri thức,truy hồi,meal_sets,knowledge_corpus:embedding,truy hồi,True
Phở với bún với hủ tiếu thì khác nhau chỗ nào?,tri thức,truy hồi,noodle_soups,knowledge_corpus:embedding,truy hồi,True
"Cả phòng mười hai người liên hoan, gọi sao cho đủ?",tri thức,truy hồi,ordering_guide,knowledge_corpus:embedding,truy hồi,True
Mấy món này ra cùng lúc hay ra dần vậy?,tri thức,truy hồi,portion_timing,knowledge_corpus:embedding,truy hồi,True
Quét mã xong thì mình bấm tiếp thế nào?,tri thức,truy hồi,qr_ordering,knowledge_corpus:embedding,truy hồi,True
"Mình chỉ có ba mươi phút, kịp ăn gì không?",tri thức,truy hồi,quick_meal,filter,lọc nhãn,False
Mấy chữ ghi dưới tên món có tin được hết không?,tri thức,truy hồi,reading_labels,knowledge_corpus:embedding,truy hồi,True
Toàn món cơm mà không biết chọn cái nào cho no,tri thức,truy hồi,rice_dishes,filter,lọc nhãn,False
"Mình thích vị ngọt kiểu trong Nam, gọi gì?",tri thức,truy hồi,saigon_and_south,filter,lọc nhãn,False
Nhà có người dị ứng tôm mà vẫn muốn ăn đồ biển thì sao?,tri thức,truy hồi,seafood_caution,filter,lọc nhãn,False
Cả nhà ăn chung một mâm thì nên gọi thế nào cho hợp lý?,tri thức,truy hồi,sharing_etiquette,knowledge_corpus:embedding,truy hồi,True
"Mình ăn cay kém, làm sao biết món nào chịu được?",tri thức,truy hồi,spice_ladder,knowledge_corpus:embedding,truy hồi,True
Tiền nào của nấy hay có món rẻ mà vẫn ngon?,tri thức,truy hồi,value_for_money,knowledge_corpus:embedding,truy hồi,True
Đồ chay ở đây có thật sự chay không hay chỉ là không thịt?,tri thức,truy hồi,vegetarian_reality,filter,lọc nhãn,False
"Mình no rồi mà bạn chưa ăn xong, gọi thêm gì cho đỡ ngại?",tri thức,truy hồi,appetizer_role,knowledge_corpus:embedding,truy hồi,True
Tính tiền có bị cộng thêm gì ngoài giá ghi không?,tri thức,truy hồi,budget_planning,knowledge_corpus:embedding,truy hồi,True
Quán biết món nào còn món nào hết không?,tri thức,truy hồi,cannot_help,policy:time_or_availability,tra khóa,False
Đi với bà ngoại tám mươi tuổi thì chọn món ra sao?,tri thức,truy hồi,children_elderly,knowledge_corpus:embedding,truy hồi,True
Trẻ con uống được gì ở đây?,tri thức,truy hồi,beverage_pairing,knowledge_corpus:embedding,truy hồi,True
Ăn lẩu thì nên gọi thêm gì cho đủ bữa?,tri thức,truy hồi,hotpot_choosing,filter,lọc nhãn,False
Mình muốn ăn no mà tiêu dưới trăm rưỡi,tri thức,truy hồi,value_for_money,knowledge_corpus:embedding,truy hồi,True
Người ăn chay trường có ăn được món chay ở đây không?,tri thức,truy hồi,vegetarian_reality,filter,lọc nhãn,False
Đặt bàn đông người thì cần báo trước bao lâu?,tri thức,truy hồi,ordering_guide,facts:booking,tra khóa,False
Món nào hợp mang về nhà ăn?,tri thức,truy hồi,quick_meal,facts:delivery,tra khóa,False
Sau bữa nhiều dầu mỡ nên uống gì?,tri thức,truy hồi,beverage_pairing,filter,lọc nhãn,False
Mình muốn thử món lạ mà sợ không hợp miệng,tri thức,truy hồi,first_visit,knowledge_corpus:embedding,truy hồi,True
Gọi hai người mà muốn thử nhiều vị thì làm sao?,tri thức,truy hồi,sharing_etiquette,knowledge_corpus:embedding,truy hồi,True
"Đồ biển ở đây có tươi không, lấy từ đâu?",tri thức,truy hồi,seafood_caution,filter,lọc nhãn,False
Món nào dưới 30 nghìn?,chọn món,lọc nhãn,ngưỡng số,filter,lọc nhãn,True
Món nào dưới 50 nghìn?,chọn món,lọc nhãn,ngưỡng số,filter,lọc nhãn,True
Món nào dưới 70 nghìn?,chọn món,lọc nhãn,ngưỡng số,filter,lọc nhãn,True
Món nào dưới 100 nghìn?,chọn món,lọc nhãn,ngưỡng số,filter,lọc nhãn,True
Món nào dưới 150 nghìn?,chọn món,lọc nhãn,ngưỡng số,filter,lọc nhãn,True
Món nào dưới 200 nghìn?,chọn món,lọc nhãn,ngưỡng số,filter,lọc nhãn,True
Món nào dưới 300 nghìn?,chọn món,lọc nhãn,ngưỡng số,filter,lọc nhãn,True
Món nào không cay?,chọn món,lọc nhãn,phủ định,filter,lọc nhãn,True
Món nào cay nhẹ?,chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
Món nào cay vừa?,chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
Món nào cay đậm?,chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
"Mình ăn chay, có món nào không?",chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
"Mình ăn thuần chay, có món nào không?",chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
"Mình dị ứng hải sản, món nào tránh được?",chọn món,lọc nhãn,PHÉP TRỪ,filter,lọc nhãn,True
"Mình dị ứng đậu phộng, món nào tránh được?",chọn món,lọc nhãn,PHÉP TRỪ,filter,lọc nhãn,True
"Mình dị ứng sữa, món nào tránh được?",chọn món,lọc nhãn,PHÉP TRỪ,filter,lọc nhãn,True
"Mình dị ứng trứng, món nào tránh được?",chọn món,lọc nhãn,PHÉP TRỪ,filter,lọc nhãn,True
"Mình dị ứng gluten, món nào tránh được?",chọn món,lọc nhãn,PHÉP TRỪ,filter,lọc nhãn,True
Có món miền Bắc nào không?,chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
Có món miền Trung nào không?,chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
Có món miền Nam nào không?,chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
Có món Hà Nội nào không?,chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
Có món Huế nào không?,chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
Có món Sài Gòn nào không?,chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
Món nướng có những gì?,chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
Món hấp có những gì?,chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
Món chiên có những gì?,chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
Món xào có những gì?,chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
Món nào ít calo?,chọn món,lọc nhãn,phân loại,policy:nutrition,tra khóa,False
Món nào nhiều đạm?,chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
Món nào thanh nhẹ?,chọn món,lọc nhãn,phân loại,knowledge_corpus:embedding,truy hồi,False
Món nào ít dầu mỡ?,chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
Món nào vị đậm đà?,chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
Món nào vị chua?,chọn món,lọc nhãn,phân loại,knowledge_corpus:embedding,truy hồi,False
Món nào vị ngọt?,chọn món,lọc nhãn,phân loại,knowledge_corpus:embedding,truy hồi,False
Món nào vị béo?,chọn món,lọc nhãn,phân loại,knowledge_corpus:embedding,truy hồi,False
Món nào vị thơm khói?,chọn món,lọc nhãn,phân loại,knowledge_corpus:embedding,truy hồi,False
Món nào vị mặn?,chọn món,lọc nhãn,phân loại,knowledge_corpus:embedding,truy hồi,False
Món nào hợp hẹn hò?,chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
Món nào hợp tiếp khách?,chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
Món nào hợp sinh nhật?,chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
Món nào hợp đi nhậu?,chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
Món nào hợp ăn một mình?,chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
Món nào hợp ăn 2-3 người?,chọn món,lọc nhãn,phân loại,filter,lọc nhãn,True
Món nào vừa không cay vừa dưới 80 nghìn?,chọn món,lọc nhãn,PHÉP HỘI,filter,lọc nhãn,True
Món chay nào dưới 60 nghìn?,chọn món,lọc nhãn,PHÉP HỘI,filter,lọc nhãn,True
Món miền Trung nào không cay?,chọn món,lọc nhãn,PHÉP HỘI,filter,lọc nhãn,True
Món nướng nào dưới 200 nghìn?,chọn món,lọc nhãn,PHÉP HỘI,filter,lọc nhãn,True
"Mình dị ứng hải sản, món nào dưới 100 nghìn?",chọn món,lọc nhãn,PHÉP HỘI,filter,lọc nhãn,True
Món chay nào không cay dưới 70 nghìn?,chọn món,lọc nhãn,PHÉP HỘI,filter,lọc nhãn,True
Món nào vị béo?,phân loại,lọc nhãn hoặc truy hồi,flavour_fatty,knowledge_corpus:embedding,truy hồi,True
"Mình đang thèm cái gì đó béo, gợi ý đi",phân loại,lọc nhãn hoặc truy hồi,flavour_fatty,clarify,khác:clarify,False
Món nào vị đậm đà?,phân loại,lọc nhãn hoặc truy hồi,flavour_rich,filter,lọc nhãn,True
"Mình đang thèm cái gì đó đậm đà, gợi ý đi",phân loại,lọc nhãn hoặc truy hồi,flavour_rich,filter,lọc nhãn,True
Món nào vị mặn?,phân loại,lọc nhãn hoặc truy hồi,flavour_salty,knowledge_corpus:embedding,truy hồi,True
"Mình đang thèm cái gì đó mặn, gợi ý đi",phân loại,lọc nhãn hoặc truy hồi,flavour_salty,clarify,khác:clarify,False
Món nào vị thơm khói?,phân loại,lọc nhãn hoặc truy hồi,flavour_smoky,knowledge_corpus:embedding,truy hồi,True
"Mình đang thèm cái gì đó thơm khói, gợi ý đi",phân loại,lọc nhãn hoặc truy hồi,flavour_smoky,clarify,khác:clarify,False
Món nào vị chua?,phân loại,lọc nhãn hoặc truy hồi,flavour_sour,knowledge_corpus:embedding,truy hồi,True
"Mình đang thèm cái gì đó chua, gợi ý đi",phân loại,lọc nhãn hoặc truy hồi,flavour_sour,clarify,khác:clarify,False
Món nào vị ngọt?,phân loại,lọc nhãn hoặc truy hồi,flavour_sweet,knowledge_corpus:embedding,truy hồi,True
"Mình đang thèm cái gì đó ngọt, gợi ý đi",phân loại,lọc nhãn hoặc truy hồi,flavour_sweet,filter,lọc nhãn,True
Món nào healthy?,phân loại,lọc nhãn hoặc truy hồi,health_healthy,knowledge_corpus:embedding,truy hồi,True
"Mình đang giữ dáng, muốn ăn kiểu healthy thì chọn gì?",phân loại,lọc nhãn hoặc truy hồi,health_healthy,knowledge_corpus:embedding,truy hồi,True
Món nào giàu protein?,phân loại,lọc nhãn hoặc truy hồi,health_high_protein,knowledge_corpus:embedding,truy hồi,True
"Mình đang giữ dáng, muốn ăn kiểu giàu protein thì chọn gì?",phân loại,lọc nhãn hoặc truy hồi,health_high_protein,knowledge_corpus:embedding,truy hồi,True
Món nào thanh nhẹ?,phân loại,lọc nhãn hoặc truy hồi,health_light,knowledge_corpus:embedding,truy hồi,True
"Mình đang giữ dáng, muốn ăn kiểu thanh nhẹ thì chọn gì?",phân loại,lọc nhãn hoặc truy hồi,health_light,knowledge_corpus:embedding,truy hồi,True
Món nào ít calo?,phân loại,lọc nhãn hoặc truy hồi,health_low_calorie,policy:nutrition,tra khóa,False
"Mình đang giữ dáng, muốn ăn kiểu ít calo thì chọn gì?",phân loại,lọc nhãn hoặc truy hồi,health_low_calorie,policy:nutrition,tra khóa,False
Món nào ít dầu mỡ?,phân loại,lọc nhãn hoặc truy hồi,health_low_fat,filter,lọc nhãn,True
"Mình đang giữ dáng, muốn ăn kiểu ít dầu mỡ thì chọn gì?",phân loại,lọc nhãn hoặc truy hồi,health_low_fat,filter,lọc nhãn,True
Món nào không msg?,phân loại,lọc nhãn hoặc truy hồi,health_no_msg,knowledge_corpus:embedding,truy hồi,True
"Mình đang giữ dáng, muốn ăn kiểu không msg thì chọn gì?",phân loại,lọc nhãn hoặc truy hồi,health_no_msg,knowledge_corpus:embedding,truy hồi,True
Món nào có bò?,phân loại,lọc nhãn hoặc truy hồi,ingredient_beef,clarify,khác:clarify,False
"Nhà mình thích ăn bò, quán có món nào không?",phân loại,lọc nhãn hoặc truy hồi,ingredient_beef,knowledge_corpus:embedding,truy hồi,True
Món nào có gà?,phân loại,lọc nhãn hoặc truy hồi,ingredient_chicken,filter,lọc nhãn,True
"Nhà mình thích ăn gà, quán có món nào không?",phân loại,lọc nhãn hoặc truy hồi,ingredient_chicken,filter,lọc nhãn,True
Món nào có cua?,phân loại,lọc nhãn hoặc truy hồi,ingredient_crab,clarify,khác:clarify,False
"Nhà mình thích ăn cua, quán có món nào không?",phân loại,lọc nhãn hoặc truy hồi,ingredient_crab,knowledge_corpus:embedding,truy hồi,True
Món nào có cá?,phân loại,lọc nhãn hoặc truy hồi,ingredient_fish,clarify,khác:clarify,False
"Nhà mình thích ăn cá, quán có món nào không?",phân loại,lọc nhãn hoặc truy hồi,ingredient_fish,knowledge_corpus:embedding,truy hồi,True
Món nào có nấm?,phân loại,lọc nhãn hoặc truy hồi,ingredient_mushroom,filter,lọc nhãn,True
"Nhà mình thích ăn nấm, quán có món nào không?",phân loại,lọc nhãn hoặc truy hồi,ingredient_mushroom,filter,lọc nhãn,True
Món nào có heo?,phân loại,lọc nhãn hoặc truy hồi,ingredient_pork,filter,lọc nhãn,True
"Nhà mình thích ăn heo, quán có món nào không?",phân loại,lọc nhãn hoặc truy hồi,ingredient_pork,filter,lọc nhãn,True
Món nào có tôm?,phân loại,lọc nhãn hoặc truy hồi,ingredient_shrimp,knowledge_corpus:embedding,truy hồi,True
"Nhà mình thích ăn tôm, quán có món nào không?",phân loại,lọc nhãn hoặc truy hồi,ingredient_shrimp,knowledge_corpus:embedding,truy hồi,True
Món nào có mực?,phân loại,lọc nhãn hoặc truy hồi,ingredient_squid,knowledge_corpus:embedding,truy hồi,True
"Nhà mình thích ăn mực, quán có món nào không?",phân loại,lọc nhãn hoặc truy hồi,ingredient_squid,knowledge_corpus:embedding,truy hồi,True
Món nào có đậu hũ?,phân loại,lọc nhãn hoặc truy hồi,ingredient_tofu,item_detail,lọc nhãn,True
"Nhà mình thích ăn đậu hũ, quán có món nào không?",phân loại,lọc nhãn hoặc truy hồi,ingredient_tofu,item_detail,lọc nhãn,True
Món nào có rau?,phân loại,lọc nhãn hoặc truy hồi,ingredient_vegetable,knowledge_corpus:embedding,truy hồi,True
"Nhà mình thích ăn rau, quán có món nào không?",phân loại,lọc nhãn hoặc truy hồi,ingredient_vegetable,knowledge_corpus:embedding,truy hồi,True
Món Luộc có những gì?,phân loại,lọc nhãn hoặc truy hồi,method_boiled,knowledge_corpus:embedding,truy hồi,True
"Mình muốn món chế biến kiểu luộc, gợi ý giúp mình",phân loại,lọc nhãn hoặc truy hồi,method_boiled,clarify,khác:clarify,False
Món Kho có những gì?,phân loại,lọc nhãn hoặc truy hồi,method_braised,knowledge_corpus:embedding,truy hồi,True
"Mình muốn món chế biến kiểu kho, gợi ý giúp mình",phân loại,lọc nhãn hoặc truy hồi,method_braised,clarify,khác:clarify,False
Món Chiên có những gì?,phân loại,lọc nhãn hoặc truy hồi,method_fried,filter,lọc nhãn,True
"Mình muốn món chế biến kiểu chiên, gợi ý giúp mình",phân loại,lọc nhãn hoặc truy hồi,method_fried,filter,lọc nhãn,True
Món Nướng có những gì?,phân loại,lọc nhãn hoặc truy hồi,method_grilled,filter,lọc nhãn,True
"Mình muốn món chế biến kiểu nướng, gợi ý giúp mình",phân loại,lọc nhãn hoặc truy hồi,method_grilled,filter,lọc nhãn,True
Món Rang có những gì?,phân loại,lọc nhãn hoặc truy hồi,method_roasted,knowledge_corpus:embedding,truy hồi,True
"Mình muốn món chế biến kiểu rang, gợi ý giúp mình",phân loại,lọc nhãn hoặc truy hồi,method_roasted,clarify,khác:clarify,False
Món Cuốn có những gì?,phân loại,lọc nhãn hoặc truy hồi,method_rolled,knowledge_corpus:embedding,truy hồi,True
"Mình muốn món chế biến kiểu cuốn, gợi ý giúp mình",phân loại,lọc nhãn hoặc truy hồi,method_rolled,clarify,khác:clarify,False
Món Nấu có những gì?,phân loại,lọc nhãn hoặc truy hồi,method_simmered,knowledge_corpus:embedding,truy hồi,True
"Mình muốn món chế biến kiểu nấu, gợi ý giúp mình",phân loại,lọc nhãn hoặc truy hồi,method_simmered,clarify,khác:clarify,False
Món Hấp có những gì?,phân loại,lọc nhãn hoặc truy hồi,method_steamed,filter,lọc nhãn,True
"Mình muốn món chế biến kiểu hấp, gợi ý giúp mình",phân loại,lọc nhãn hoặc truy hồi,method_steamed,filter,lọc nhãn,True
Món Tiềm có những gì?,phân loại,lọc nhãn hoặc truy hồi,method_stewed,knowledge_corpus:embedding,truy hồi,True
"Mình muốn món chế biến kiểu tiềm, gợi ý giúp mình",phân loại,lọc nhãn hoặc truy hồi,method_stewed,clarify,khác:clarify,False
Món Xào có những gì?,phân loại,lọc nhãn hoặc truy hồi,method_stir_fried,filter,lọc nhãn,True
"Mình muốn món chế biến kiểu xào, gợi ý giúp mình",phân loại,lọc nhãn hoặc truy hồi,method_stir_fried,filter,lọc nhãn,True
Món Quay có những gì?,phân loại,lọc nhãn hoặc truy hồi,method_whole_roast,knowledge_corpus:embedding,truy hồi,True
"Mình muốn món chế biến kiểu quay, gợi ý giúp mình",phân loại,lọc nhãn hoặc truy hồi,method_whole_roast,clarify,khác:clarify,False
Món nào hợp tiệc?,phân loại,lọc nhãn hoặc truy hồi,occasion_banquet,filter,lọc nhãn,True
"Nhóm mình sắp đi tiệc, nên gọi món gì?",phân loại,lọc nhãn hoặc truy hồi,occasion_banquet,filter,lọc nhãn,True
Món nào hợp sinh nhật?,phân loại,lọc nhãn hoặc truy hồi,occasion_birthday,filter,lọc nhãn,True
"Nhóm mình sắp đi sinh nhật, nên gọi món gì?",phân loại,lọc nhãn hoặc truy hồi,occasion_birthday,filter,lọc nhãn,True
Món nào hợp tiếp khách?,phân loại,lọc nhãn hoặc truy hồi,occasion_business,filter,lọc nhãn,True
"Nhóm mình sắp đi tiếp khách, nên gọi món gì?",phân loại,lọc nhãn hoặc truy hồi,occasion_business,filter,lọc nhãn,True
Món nào hợp hẹn hò?,phân loại,lọc nhãn hoặc truy hồi,occasion_date,filter,lọc nhãn,True
"Nhóm mình sắp đi hẹn hò, nên gọi món gì?",phân loại,lọc nhãn hoặc truy hồi,occasion_date,filter,lọc nhãn,True
Món nào hợp nhậu?,phân loại,lọc nhãn hoặc truy hồi,occasion_drinking,filter,lọc nhãn,True
"Nhóm mình sắp đi nhậu, nên gọi món gì?",phân loại,lọc nhãn hoặc truy hồi,occasion_drinking,filter,lọc nhãn,True
Món nào hợp hàng ngày?,phân loại,lọc nhãn hoặc truy hồi,occasion_everyday,knowledge_corpus:embedding,truy hồi,True
"Nhóm mình sắp đi hàng ngày, nên gọi món gì?",phân loại,lọc nhãn hoặc truy hồi,occasion_everyday,knowledge_corpus:embedding,truy hồi,True
Có món Miền Trung nào không?,phân loại,lọc nhãn hoặc truy hồi,region_central,filter,lọc nhãn,True
"Mình nhớ vị quê miền trung, ăn gì cho giống?",phân loại,lọc nhãn hoặc truy hồi,region_central,filter,lọc nhãn,True
Có món Đà Nẵng nào không?,phân loại,lọc nhãn hoặc truy hồi,region_danang,filter,lọc nhãn,True
"Mình nhớ vị quê đà nẵng, ăn gì cho giống?",phân loại,lọc nhãn hoặc truy hồi,region_danang,filter,lọc nhãn,True
Có món Hà Nội nào không?,phân loại,lọc nhãn hoặc truy hồi,region_hanoi,filter,lọc nhãn,True
"Mình nhớ vị quê hà nội, ăn gì cho giống?",phân loại,lọc nhãn hoặc truy hồi,region_hanoi,filter,lọc nhãn,True
Có món Tây Nguyên nào không?,phân loại,lọc nhãn hoặc truy hồi,region_highlands,knowledge_corpus:embedding,truy hồi,True
"Mình nhớ vị quê tây nguyên, ăn gì cho giống?",phân loại,lọc nhãn hoặc truy hồi,region_highlands,filter,lọc nhãn,True
Có món Hội An nào không?,phân loại,lọc nhãn hoặc truy hồi,region_hoian,filter,lọc nhãn,True
"Mình nhớ vị quê hội an, ăn gì cho giống?",phân loại,lọc nhãn hoặc truy hồi,region_hoian,filter,lọc nhãn,True
Có món Huế nào không?,phân loại,lọc nhãn hoặc truy hồi,region_hue,filter,lọc nhãn,True
"Mình nhớ vị quê huế, ăn gì cho giống?",phân loại,lọc nhãn hoặc truy hồi,region_hue,filter,lọc nhãn,True
Có món Miền Tây nào không?,phân loại,lọc nhãn hoặc truy hồi,region_mekong,filter,lọc nhãn,True
"Mình nhớ vị quê miền tây, ăn gì cho giống?",phân loại,lọc nhãn hoặc truy hồi,region_mekong,filter,lọc nhãn,True
Có món Miền Bắc nào không?,phân loại,lọc nhãn hoặc truy hồi,region_north,filter,lọc nhãn,True
"Mình nhớ vị quê miền bắc, ăn gì cho giống?",phân loại,lọc nhãn hoặc truy hồi,region_north,filter,lọc nhãn,True
Có món Sài Gòn nào không?,phân loại,lọc nhãn hoặc truy hồi,region_saigon,filter,lọc nhãn,True
"Mình nhớ vị quê sài gòn, ăn gì cho giống?",phân loại,lọc nhãn hoặc truy hồi,region_saigon,filter,lọc nhãn,True
Có món Miền Nam nào không?,phân loại,lọc nhãn hoặc truy hồi,region_south,filter,lọc nhãn,True
"Mình nhớ vị quê miền nam, ăn gì cho giống?",phân loại,lọc nhãn hoặc truy hồi,region_south,filter,lọc nhãn,True
