cau,so_doan_xin,so_doan_thuc,trung,so_tu,doan_lac
"Cả phòng mười hai người liên hoan, gọi sao cho đủ?",1,1,False,46,1
Mấy món này ra cùng lúc hay ra dần vậy?,1,1,False,58,1
Quét mã xong thì mình bấm tiếp thế nào?,1,1,True,48,0
"Mình chỉ có ba mươi phút, kịp ăn gì không?",1,1,True,74,0
Mấy chữ ghi dưới tên món có tin được hết không?,1,1,False,73,1
Toàn món cơm mà không biết chọn cái nào cho no,1,1,True,36,0
"Mình thích vị ngọt kiểu trong Nam, gọi gì?",1,1,True,62,0
Nhà có người dị ứng tôm mà vẫn muốn ăn đồ biển thì sao?,1,1,False,67,1
Cả nhà ăn chung một mâm thì nên gọi thế nào cho hợp lý?,1,1,True,74,0
"Mình ăn cay kém, làm sao biết món nào chịu được?",1,1,False,74,1
Tiền nào của nấy hay có món rẻ mà vẫn ngon?,1,1,True,113,0
Đồ chay ở đây có thật sự chay không hay chỉ là không thịt?,1,1,False,72,1
"Mình no rồi mà bạn chưa ăn xong, gọi thêm gì cho đỡ ngại?",1,1,False,111,1
Tính tiền có bị cộng thêm gì ngoài giá ghi không?,1,1,True,27,0
Quán biết món nào còn món nào hết không?,1,1,True,37,0
Đi với bà ngoại tám mươi tuổi thì chọn món ra sao?,1,1,False,74,1
Trẻ con uống được gì ở đây?,1,1,False,55,1
Ăn lẩu thì nên gọi thêm gì cho đủ bữa?,1,1,True,50,0
Mình muốn ăn no mà tiêu dưới trăm rưỡi,1,1,False,42,1
Người ăn chay trường có ăn được món chay ở đây không?,1,1,True,38,0
Đặt bàn đông người thì cần báo trước bao lâu?,1,1,False,40,1
Món nào hợp mang về nhà ăn?,1,1,False,141,1
Sau bữa nhiều dầu mỡ nên uống gì?,1,1,True,58,0
Mình muốn thử món lạ mà sợ không hợp miệng,1,1,False,74,1
Gọi hai người mà muốn thử nhiều vị thì làm sao?,1,1,False,120,1
"Đồ biển ở đây có tươi không, lấy từ đâu?",1,1,False,55,1
Mình bị dị ứng thì phải nói với quán thế nào cho chắc?,2,2,False,119,2
Gọi khai vị trước có làm no bụng không ăn được món chính không?,2,2,True,202,1
"Mình lái xe nên không dám uống gì có cồn, quán tính sao?",2,2,False,114,2
Ăn xong mà miệng vẫn cay xè thì uống gì cho dịu?,2,2,False,98,2
Đi bốn người mà chỉ muốn tiêu tầm hai trăm mỗi người thì tính sao?,2,2,True,111,1
Quán có nói được món này nấu bao lâu không?,2,2,True,101,1
Cùng là gà mà sao món thì mềm món thì dai vậy?,2,2,False,105,2
"Bé nhà mình mới hai tuổi, ăn ở đây có tiện không?",2,2,False,175,2
Uống cà phê buổi tối có bị mất ngủ không?,2,2,True,90,1
Gọi mấy món mà ăn cùng nhau cho hợp vị?,2,2,True,232,1
"Mình định cầu hôn ở đây, nên chuẩn bị gì?",2,2,True,84,1
Ăn xong ngọt miệng thì nên làm gì tiếp?,2,2,True,112,1
"Mình ăn kiêng nhưng không phải dị ứng, có khác gì nhau không?",2,2,False,129,2
"Đi có một mình mà gọi nhiều thì phí, làm sao giờ?",2,2,True,172,1
Quán này có gì hay mà mọi người hay hỏi?,2,2,True,107,1
"Lần đầu tới đây, gọi kiểu gì cho khỏi bỡ ngỡ?",2,2,False,120,2
Ăn xong muốn cái gì mát mát tự nhiên thì có không?,2,2,False,127,2
"Mình người Bắc, ăn gì cho hợp khẩu vị quê?",2,2,False,112,2
"Mình vừa đi Tây Nguyên về, thèm vị đó thì gọi gì?",2,2,False,143,2
Nhóm sáu người ăn nồi nào cho vừa?,2,2,False,229,2
"Mình ăn cay giỏi, muốn thử vị miền Trung thật đậm",2,2,False,178,2
"Muốn cái gì mát mà rẻ, không phải trà sữa",2,2,False,111,2
"Buổi trưa đi làm về, ăn nhanh gọn thì set nào?",2,2,False,168,2
Phở với bún với hủ tiếu thì khác nhau chỗ nào?,2,2,True,143,1
"Cả phòng mười hai người liên hoan, gọi sao cho đủ?",2,2,False,147,2
Mấy món này ra cùng lúc hay ra dần vậy?,2,2,True,126,1
Quét mã xong thì mình bấm tiếp thế nào?,2,2,True,112,1
"Mình chỉ có ba mươi phút, kịp ăn gì không?",2,2,True,129,1
Mấy chữ ghi dưới tên món có tin được hết không?,2,2,False,141,2
Toàn món cơm mà không biết chọn cái nào cho no,2,2,True,149,1
"Mình thích vị ngọt kiểu trong Nam, gọi gì?",2,2,True,101,1
Nhà có người dị ứng tôm mà vẫn muốn ăn đồ biển thì sao?,2,2,False,131,2
Cả nhà ăn chung một mâm thì nên gọi thế nào cho hợp lý?,2,2,True,183,1
"Mình ăn cay kém, làm sao biết món nào chịu được?",2,2,False,113,2
Tiền nào của nấy hay có món rẻ mà vẫn ngon?,2,2,True,183,1
Đồ chay ở đây có thật sự chay không hay chỉ là không thịt?,2,2,False,139,2
"Mình no rồi mà bạn chưa ăn xong, gọi thêm gì cho đỡ ngại?",2,2,False,212,2
Tính tiền có bị cộng thêm gì ngoài giá ghi không?,2,2,True,54,1
Quán biết món nào còn món nào hết không?,2,2,True,105,1
Đi với bà ngoại tám mươi tuổi thì chọn món ra sao?,2,2,False,112,2
Trẻ con uống được gì ở đây?,2,2,False,101,2
Ăn lẩu thì nên gọi thêm gì cho đủ bữa?,2,2,True,135,1
Mình muốn ăn no mà tiêu dưới trăm rưỡi,2,2,False,130,2
Người ăn chay trường có ăn được món chay ở đây không?,2,2,True,105,1
Đặt bàn đông người thì cần báo trước bao lâu?,2,2,False,86,2
Món nào hợp mang về nhà ăn?,2,2,False,191,2
Sau bữa nhiều dầu mỡ nên uống gì?,2,2,True,138,1
Mình muốn thử món lạ mà sợ không hợp miệng,2,2,False,109,2
Gọi hai người mà muốn thử nhiều vị thì làm sao?,2,2,False,211,2
"Đồ biển ở đây có tươi không, lấy từ đâu?",2,2,False,108,2
Mình bị dị ứng thì phải nói với quán thế nào cho chắc?,3,3,False,187,3
Gọi khai vị trước có làm no bụng không ăn được món chính không?,3,3,True,273,2
"Mình lái xe nên không dám uống gì có cồn, quán tính sao?",3,3,False,150,3
Ăn xong mà miệng vẫn cay xè thì uống gì cho dịu?,3,3,False,143,3
Đi bốn người mà chỉ muốn tiêu tầm hai trăm mỗi người thì tính sao?,3,3,True,140,2
Quán có nói được món này nấu bao lâu không?,3,3,True,175,2
Cùng là gà mà sao món thì mềm món thì dai vậy?,3,3,True,182,2
"Bé nhà mình mới hai tuổi, ăn ở đây có tiện không?",3,3,False,228,3
Uống cà phê buổi tối có bị mất ngủ không?,3,3,True,150,2
Gọi mấy món mà ăn cùng nhau cho hợp vị?,3,3,True,299,2
"Mình định cầu hôn ở đây, nên chuẩn bị gì?",3,3,True,121,2
Ăn xong ngọt miệng thì nên làm gì tiếp?,3,2,True,112,1
"Mình ăn kiêng nhưng không phải dị ứng, có khác gì nhau không?",3,3,False,202,3
"Đi có một mình mà gọi nhiều thì phí, làm sao giờ?",3,3,True,313,2
Quán này có gì hay mà mọi người hay hỏi?,3,3,True,138,2
"Lần đầu tới đây, gọi kiểu gì cho khỏi bỡ ngỡ?",3,3,False,178,3
Ăn xong muốn cái gì mát mát tự nhiên thì có không?,3,3,False,195,3
"Mình người Bắc, ăn gì cho hợp khẩu vị quê?",3,3,False,192,3
"Mình vừa đi Tây Nguyên về, thèm vị đó thì gọi gì?",3,3,False,279,3
Nhóm sáu người ăn nồi nào cho vừa?,3,3,False,303,3
"Mình ăn cay giỏi, muốn thử vị miền Trung thật đậm",3,3,False,239,3
"Muốn cái gì mát mà rẻ, không phải trà sữa",3,3,False,147,3
"Buổi trưa đi làm về, ăn nhanh gọn thì set nào?",3,3,False,239,3
Phở với bún với hủ tiếu thì khác nhau chỗ nào?,3,3,True,214,2
"Cả phòng mười hai người liên hoan, gọi sao cho đủ?",3,3,False,216,3
Mấy món này ra cùng lúc hay ra dần vậy?,3,3,True,200,2
Quét mã xong thì mình bấm tiếp thế nào?,3,3,True,186,2
"Mình chỉ có ba mươi phút, kịp ăn gì không?",3,3,True,217,2
Mấy chữ ghi dưới tên món có tin được hết không?,3,3,False,202,3
Toàn món cơm mà không biết chọn cái nào cho no,3,3,True,187,2
"Mình thích vị ngọt kiểu trong Nam, gọi gì?",3,3,True,245,2
Nhà có người dị ứng tôm mà vẫn muốn ăn đồ biển thì sao?,3,3,False,198,3
Cả nhà ăn chung một mâm thì nên gọi thế nào cho hợp lý?,3,3,True,324,2
"Mình ăn cay kém, làm sao biết món nào chịu được?",3,3,True,164,2
Tiền nào của nấy hay có món rẻ mà vẫn ngon?,3,3,True,319,2
Đồ chay ở đây có thật sự chay không hay chỉ là không thịt?,3,3,False,178,3
"Mình no rồi mà bạn chưa ăn xong, gọi thêm gì cho đỡ ngại?",3,3,False,300,3
Tính tiền có bị cộng thêm gì ngoài giá ghi không?,3,3,True,125,2
Quán biết món nào còn món nào hết không?,3,3,True,179,2
Đi với bà ngoại tám mươi tuổi thì chọn món ra sao?,3,3,False,147,3
Trẻ con uống được gì ở đây?,3,3,False,161,3
Ăn lẩu thì nên gọi thêm gì cho đủ bữa?,3,3,True,185,2
Mình muốn ăn no mà tiêu dưới trăm rưỡi,3,3,False,166,3
Người ăn chay trường có ăn được món chay ở đây không?,3,3,True,179,2
Đặt bàn đông người thì cần báo trước bao lâu?,3,3,False,136,3
Món nào hợp mang về nhà ăn?,3,3,False,265,3
Sau bữa nhiều dầu mỡ nên uống gì?,3,3,True,174,2
Mình muốn thử món lạ mà sợ không hợp miệng,3,3,False,148,3
Gọi hai người mà muốn thử nhiều vị thì làm sao?,3,3,False,352,3
"Đồ biển ở đây có tươi không, lấy từ đâu?",3,3,False,177,3
Mình bị dị ứng thì phải nói với quán thế nào cho chắc?,5,5,False,343,5
Gọi khai vị trước có làm no bụng không ăn được món chính không?,5,5,True,396,4
"Mình lái xe nên không dám uống gì có cồn, quán tính sao?",5,5,False,319,5
Ăn xong mà miệng vẫn cay xè thì uống gì cho dịu?,5,5,False,295,5
Đi bốn người mà chỉ muốn tiêu tầm hai trăm mỗi người thì tính sao?,5,5,True,394,4
Quán có nói được món này nấu bao lâu không?,5,5,True,302,4
Cùng là gà mà sao món thì mềm món thì dai vậy?,5,5,True,382,4
"Bé nhà mình mới hai tuổi, ăn ở đây có tiện không?",5,5,False,321,5
Uống cà phê buổi tối có bị mất ngủ không?,5,5,True,274,4
Gọi mấy món mà ăn cùng nhau cho hợp vị?,5,5,True,444,4
"Mình định cầu hôn ở đây, nên chuẩn bị gì?",5,5,True,271,4
Ăn xong ngọt miệng thì nên làm gì tiếp?,5,5,True,295,4
"Mình ăn kiêng nhưng không phải dị ứng, có khác gì nhau không?",5,5,False,339,5
"Đi có một mình mà gọi nhiều thì phí, làm sao giờ?",5,5,True,424,4
Quán này có gì hay mà mọi người hay hỏi?,5,5,True,315,4
"Lần đầu tới đây, gọi kiểu gì cho khỏi bỡ ngỡ?",5,5,True,286,4
Ăn xong muốn cái gì mát mát tự nhiên thì có không?,5,5,False,273,5
"Mình người Bắc, ăn gì cho hợp khẩu vị quê?",5,5,True,368,4
"Mình vừa đi Tây Nguyên về, thèm vị đó thì gọi gì?",5,5,False,568,5
Nhóm sáu người ăn nồi nào cho vừa?,5,5,True,445,4
"Mình ăn cay giỏi, muốn thử vị miền Trung thật đậm",5,5,False,318,5
"Muốn cái gì mát mà rẻ, không phải trà sữa",5,5,False,230,5
"Buổi trưa đi làm về, ăn nhanh gọn thì set nào?",5,5,False,320,5
Phở với bún với hủ tiếu thì khác nhau chỗ nào?,5,5,True,281,4
"Cả phòng mười hai người liên hoan, gọi sao cho đủ?",5,5,False,283,5
Mấy món này ra cùng lúc hay ra dần vậy?,5,5,True,390,4
Quét mã xong thì mình bấm tiếp thế nào?,5,5,True,370,4
"Mình chỉ có ba mươi phút, kịp ăn gì không?",5,5,True,421,4
Mấy chữ ghi dưới tên món có tin được hết không?,5,5,False,347,5
Toàn món cơm mà không biết chọn cái nào cho no,5,5,True,282,4
"Mình thích vị ngọt kiểu trong Nam, gọi gì?",5,5,True,454,4
Nhà có người dị ứng tôm mà vẫn muốn ăn đồ biển thì sao?,5,5,False,396,5
Cả nhà ăn chung một mâm thì nên gọi thế nào cho hợp lý?,5,5,True,448,4
"Mình ăn cay kém, làm sao biết món nào chịu được?",5,5,True,290,4
Tiền nào của nấy hay có món rẻ mà vẫn ngon?,5,5,True,397,4
Đồ chay ở đây có thật sự chay không hay chỉ là không thịt?,5,5,False,319,5
"Mình no rồi mà bạn chưa ăn xong, gọi thêm gì cho đỡ ngại?",5,5,False,435,5
Tính tiền có bị cộng thêm gì ngoài giá ghi không?,5,5,True,257,4
Quán biết món nào còn món nào hết không?,5,5,True,328,4
Đi với bà ngoại tám mươi tuổi thì chọn món ra sao?,5,5,False,220,5
Trẻ con uống được gì ở đây?,5,5,False,284,5
Ăn lẩu thì nên gọi thêm gì cho đủ bữa?,5,5,True,351,4
Mình muốn ăn no mà tiêu dưới trăm rưỡi,5,5,False,272,5
Người ăn chay trường có ăn được món chay ở đây không?,5,5,True,299,4
Đặt bàn đông người thì cần báo trước bao lâu?,5,5,False,319,5
Món nào hợp mang về nhà ăn?,5,5,False,364,5
Sau bữa nhiều dầu mỡ nên uống gì?,5,5,True,291,4
Mình muốn thử món lạ mà sợ không hợp miệng,5,5,False,224,5
Gọi hai người mà muốn thử nhiều vị thì làm sao?,5,5,False,433,5
"Đồ biển ở đây có tươi không, lấy từ đâu?",5,5,False,309,5
