chieu,cau_hoi,dap_an_o_dau,tat_dinh_nhanh,tat_dinh_dang,tat_dinh_dung,nhanh_la_truy_hoi,truy_hoi_dung,truy_hoi_top5,tat_dinh_vi_pham,truy_hoi_vi_pham,vi_sao
A,Mấy món này ra cùng lúc hay ra dần vậy?,tài liệu portion_timing,knowledge_corpus:embedding,fact,False,True,False,True,,,cần lời giải thích; danh sách món là sai dạng
A,Quét mã xong thì mình bấm tiếp thế nào?,tài liệu qr_ordering,knowledge_corpus:embedding,fact,False,True,True,True,,,cần lời giải thích; danh sách món là sai dạng
A,"Mình chỉ có ba mươi phút, kịp ăn gì không?",tài liệu quick_meal,filter,list,False,False,True,True,,,cần lời giải thích; danh sách món là sai dạng
A,Mấy chữ ghi dưới tên món có tin được hết không?,tài liệu reading_labels,knowledge_corpus:embedding,fact,False,True,False,False,,,cần lời giải thích; danh sách món là sai dạng
A,Toàn món cơm mà không biết chọn cái nào cho no,tài liệu rice_dishes,filter,list,False,False,True,True,,,cần lời giải thích; danh sách món là sai dạng
A,"Mình thích vị ngọt kiểu trong Nam, gọi gì?",tài liệu saigon_and_south,filter,list,False,False,False,True,,,cần lời giải thích; danh sách món là sai dạng
A,Nhà có người dị ứng tôm mà vẫn muốn ăn đồ biển thì sao?,tài liệu seafood_caution,filter,list,False,False,False,True,,,cần lời giải thích; danh sách món là sai dạng
A,Cả nhà ăn chung một mâm thì nên gọi thế nào cho hợp lý?,tài liệu sharing_etiquette,filter,list,False,False,True,True,,,cần lời giải thích; danh sách món là sai dạng
A,"Mình ăn cay kém, làm sao biết món nào chịu được?",tài liệu spice_ladder,knowledge_corpus:embedding,fact,False,True,False,True,,,cần lời giải thích; danh sách món là sai dạng
A,Tiền nào của nấy hay có món rẻ mà vẫn ngon?,tài liệu value_for_money,knowledge_corpus:embedding,fact,False,True,True,True,,,cần lời giải thích; danh sách món là sai dạng
A,Đồ chay ở đây có thật sự chay không hay chỉ là không thịt?,tài liệu vegetarian_reality,filter,list,False,False,True,True,,,cần lời giải thích; danh sách món là sai dạng
A,"Mình no rồi mà bạn chưa ăn xong, gọi thêm gì cho đỡ ngại?",tài liệu appetizer_role,knowledge_corpus:embedding,fact,False,True,False,False,,,cần lời giải thích; danh sách món là sai dạng
A,Tính tiền có bị cộng thêm gì ngoài giá ghi không?,tài liệu budget_planning,knowledge_corpus:embedding,fact,False,True,False,True,,,cần lời giải thích; danh sách món là sai dạng
A,Quán biết món nào còn món nào hết không?,tài liệu cannot_help,policy:time_or_availability,no_data,False,False,True,True,,,cần lời giải thích; danh sách món là sai dạng
A,Đi với bà ngoại tám mươi tuổi thì chọn món ra sao?,tài liệu children_elderly,filter,list,False,False,True,True,,,cần lời giải thích; danh sách món là sai dạng
A,Trẻ con uống được gì ở đây?,tài liệu beverage_pairing,knowledge_corpus:embedding,fact,False,True,True,True,,,cần lời giải thích; danh sách món là sai dạng
A,Ăn lẩu thì nên gọi thêm gì cho đủ bữa?,tài liệu hotpot_choosing,filter,list,False,False,True,True,,,cần lời giải thích; danh sách món là sai dạng
A,Mình muốn ăn no mà tiêu dưới trăm rưỡi,tài liệu value_for_money,knowledge_corpus:embedding,fact,False,True,False,False,,,cần lời giải thích; danh sách món là sai dạng
A,Người ăn chay trường có ăn được món chay ở đây không?,tài liệu vegetarian_reality,filter,list,False,False,True,True,,,cần lời giải thích; danh sách món là sai dạng
A,Đặt bàn đông người thì cần báo trước bao lâu?,tài liệu ordering_guide,facts:booking,fact,True,False,False,False,,,cần lời giải thích; danh sách món là sai dạng
A,Món nào hợp mang về nhà ăn?,tài liệu quick_meal,facts:delivery,fact,True,False,False,False,,,cần lời giải thích; danh sách món là sai dạng
A,Sau bữa nhiều dầu mỡ nên uống gì?,tài liệu beverage_pairing,filter,list,False,False,True,True,,,cần lời giải thích; danh sách món là sai dạng
A,Mình muốn thử món lạ mà sợ không hợp miệng,tài liệu first_visit,knowledge_corpus:embedding,fact,False,True,False,False,,,cần lời giải thích; danh sách món là sai dạng
A,Gọi hai người mà muốn thử nhiều vị thì làm sao?,tài liệu sharing_etiquette,filter,list,False,False,False,False,,,cần lời giải thích; danh sách món là sai dạng
A,"Đồ biển ở đây có tươi không, lấy từ đâu?",tài liệu seafood_caution,filter,list,False,False,False,False,,,cần lời giải thích; danh sách món là sai dạng
B,Món nào dưới 30 nghìn?,nhãn: ngưỡng số,filter,list,,,,,0,5,ngưỡng số
B,Món nào dưới 50 nghìn?,nhãn: ngưỡng số,filter,list,,,,,0,5,ngưỡng số
B,Món nào dưới 70 nghìn?,nhãn: ngưỡng số,filter,list,,,,,0,3,ngưỡng số
B,Món nào dưới 100 nghìn?,nhãn: ngưỡng số,filter,list,,,,,0,2,ngưỡng số
B,Món nào dưới 150 nghìn?,nhãn: ngưỡng số,filter,list,,,,,0,0,ngưỡng số
B,Món nào dưới 200 nghìn?,nhãn: ngưỡng số,filter,list,,,,,0,1,ngưỡng số
B,Món nào dưới 300 nghìn?,nhãn: ngưỡng số,filter,list,,,,,0,0,ngưỡng số
B,Món nào không cay?,nhãn: phủ định,filter,list,,,,,0,2,phủ định
B,Món nào cay nhẹ?,nhãn: phân loại,filter,list,,,,,0,4,phân loại
B,Món nào cay vừa?,nhãn: phân loại,filter,list,,,,,0,4,phân loại
B,Món nào cay đậm?,nhãn: phân loại,filter,list,,,,,0,4,phân loại
B,"Mình ăn chay, có món nào không?",nhãn: phân loại,filter,list,,,,,0,0,phân loại
B,"Mình ăn thuần chay, có món nào không?",nhãn: phân loại,filter,list,,,,,0,0,phân loại
B,"Mình dị ứng hải sản, món nào tránh được?",nhãn: PHÉP TRỪ,filter,list,,,,,0,5,PHÉP TRỪ
B,"Mình dị ứng đậu phộng, món nào tránh được?",nhãn: PHÉP TRỪ,filter,list,,,,,0,1,PHÉP TRỪ
B,"Mình dị ứng sữa, món nào tránh được?",nhãn: PHÉP TRỪ,filter,list,,,,,0,2,PHÉP TRỪ
B,"Mình dị ứng trứng, món nào tránh được?",nhãn: PHÉP TRỪ,filter,list,,,,,0,2,PHÉP TRỪ
B,"Mình dị ứng gluten, món nào tránh được?",nhãn: PHÉP TRỪ,filter,list,,,,,0,1,PHÉP TRỪ
B,Có món miền Bắc nào không?,nhãn: phân loại,filter,list,,,,,0,4,phân loại
B,Có món miền Trung nào không?,nhãn: phân loại,filter,list,,,,,0,4,phân loại
B,Có món miền Nam nào không?,nhãn: phân loại,filter,list,,,,,0,3,phân loại
B,Có món Hà Nội nào không?,nhãn: phân loại,filter,list,,,,,0,0,phân loại
B,Có món Huế nào không?,nhãn: phân loại,filter,list,,,,,0,2,phân loại
B,Có món Sài Gòn nào không?,nhãn: phân loại,filter,list,,,,,0,0,phân loại
B,Món nướng có những gì?,nhãn: phân loại,filter,list,,,,,0,1,phân loại
B,Món hấp có những gì?,nhãn: phân loại,filter,list,,,,,0,3,phân loại
B,Món chiên có những gì?,nhãn: phân loại,filter,list,,,,,0,2,phân loại
B,Món xào có những gì?,nhãn: phân loại,filter,list,,,,,0,3,phân loại
B,Món nào ít calo?,nhãn: phân loại,policy:nutrition,no_data,,,,,0,1,phân loại
B,Món nào nhiều đạm?,nhãn: phân loại,filter,list,,,,,0,1,phân loại
B,Món nào thanh nhẹ?,nhãn: phân loại,knowledge_corpus:embedding,fact,,,,,0,1,phân loại
B,Món nào ít dầu mỡ?,nhãn: phân loại,filter,list,,,,,0,4,phân loại
B,Món nào vị đậm đà?,nhãn: phân loại,filter,list,,,,,0,1,phân loại
B,Món nào vị chua?,nhãn: phân loại,knowledge_corpus:embedding,fact,,,,,0,0,phân loại
B,Món nào vị ngọt?,nhãn: phân loại,knowledge_corpus:embedding,fact,,,,,0,1,phân loại
B,Món nào vị béo?,nhãn: phân loại,knowledge_corpus:embedding,fact,,,,,0,1,phân loại
B,Món nào vị thơm khói?,nhãn: phân loại,knowledge_corpus:embedding,fact,,,,,0,3,phân loại
B,Món nào vị mặn?,nhãn: phân loại,knowledge_corpus:embedding,fact,,,,,0,2,phân loại
B,Món nào hợp hẹn hò?,nhãn: phân loại,filter,list,,,,,5,5,phân loại
B,Món nào hợp tiếp khách?,nhãn: phân loại,filter,list,,,,,0,5,phân loại
B,Món nào hợp sinh nhật?,nhãn: phân loại,filter,list,,,,,4,5,phân loại
B,Món nào hợp đi nhậu?,nhãn: phân loại,filter,list,,,,,0,2,phân loại
B,Món nào hợp ăn một mình?,nhãn: phân loại,filter,list,,,,,0,0,phân loại
B,Món nào hợp ăn 2-3 người?,nhãn: phân loại,filter,list,,,,,4,5,phân loại
B,Món nào vừa không cay vừa dưới 80 nghìn?,nhãn: PHÉP HỘI,filter,list,,,,,0,2,PHÉP HỘI
B,Món chay nào dưới 60 nghìn?,nhãn: PHÉP HỘI,filter,list,,,,,0,1,PHÉP HỘI
B,Món miền Trung nào không cay?,nhãn: PHÉP HỘI,filter,list,,,,,0,5,PHÉP HỘI
B,Món nướng nào dưới 200 nghìn?,nhãn: PHÉP HỘI,filter,list,,,,,0,2,PHÉP HỘI
B,"Mình dị ứng hải sản, món nào dưới 100 nghìn?",nhãn: PHÉP HỘI,filter,list,,,,,0,4,PHÉP HỘI
B,Món chay nào không cay dưới 70 nghìn?,nhãn: PHÉP HỘI,filter,list,,,,,0,2,PHÉP HỘI
