id,group_id,split,slice,question,expected_ids,expected_flags
exact_m_051,m_051,test,exact_name,Cho tôi thông tin về Cơm chiên chay ngũ sắc,menu:m_051,
nodia_m_051,m_051,test,no_diacritic,quan co com chien chay ngu sac khong,menu:m_051,
exact_m_052,m_052,test,exact_name,Cho tôi thông tin về Gỏi cuốn chay,menu:m_052,
nodia_m_052,m_052,test,no_diacritic,quan co goi cuon chay khong,menu:m_052,
exact_m_053,m_053,test,exact_name,Cho tôi thông tin về Canh khổ qua nhồi nấm,menu:m_053,
nodia_m_053,m_053,test,no_diacritic,quan co canh kho qua nhoi nam khong,menu:m_053,
exact_m_054,m_054,test,exact_name,Cho tôi thông tin về Đậu hũ sốt cà chua,menu:m_054,
nodia_m_054,m_054,test,no_diacritic,quan co dau hu sot ca chua khong,menu:m_054,
exact_m_055,m_055,dev,exact_name,Cho tôi thông tin về Mì Quảng chay,menu:m_055,
nodia_m_055,m_055,dev,no_diacritic,quan co mi quang chay khong,menu:m_055,
exact_m_056,m_056,test,exact_name,Cho tôi thông tin về Bún chay Huế,menu:m_056,
nodia_m_056,m_056,test,no_diacritic,quan co bun chay hue khong,menu:m_056,
exact_m_057,m_057,test,exact_name,Cho tôi thông tin về Cà phê sữa đá,menu:m_057,
nodia_m_057,m_057,test,no_diacritic,quan co ca phe sua da khong,menu:m_057,
exact_m_058,m_058,dev,exact_name,Cho tôi thông tin về Cà phê trứng Hà Nội,menu:m_058,
nodia_m_058,m_058,dev,no_diacritic,quan co ca phe trung ha noi khong,menu:m_058,
exact_m_059,m_059,dev,exact_name,Cho tôi thông tin về Bạc xỉu Sài Gòn,menu:m_059,
nodia_m_059,m_059,dev,no_diacritic,quan co bac xiu sai gon khong,menu:m_059,
exact_m_060,m_060,test,exact_name,Cho tôi thông tin về Trà đào cam sả,menu:m_060,
nodia_m_060,m_060,test,no_diacritic,quan co tra dao cam sa khong,menu:m_060,
exact_m_061,m_061,test,exact_name,Cho tôi thông tin về Trà sen Tây Hồ,menu:m_061,
nodia_m_061,m_061,test,no_diacritic,quan co tra sen tay ho khong,menu:m_061,
exact_m_062,m_062,test,exact_name,Cho tôi thông tin về Trà sữa trân châu,menu:m_062,
nodia_m_062,m_062,test,no_diacritic,quan co tra sua tran chau khong,menu:m_062,
exact_m_063,m_063,test,exact_name,Cho tôi thông tin về Cà phê dừa,menu:m_063,
nodia_m_063,m_063,test,no_diacritic,quan co ca phe dua khong,menu:m_063,
exact_m_064,m_064,dev,exact_name,Cho tôi thông tin về Nước ép cam tươi,menu:m_064,
nodia_m_064,m_064,dev,no_diacritic,quan co nuoc ep cam tuoi khong,menu:m_064,
exact_m_065,m_065,test,exact_name,Cho tôi thông tin về Sinh tố bơ Đắk Lắk,menu:m_065,
nodia_m_065,m_065,test,no_diacritic,quan co sinh to bo dak lak khong,menu:m_065,
exact_m_066,m_066,test,exact_name,Cho tôi thông tin về Nước ép dưa hấu,menu:m_066,
nodia_m_066,m_066,test,no_diacritic,quan co nuoc ep dua hau khong,menu:m_066,
exact_m_067,m_067,test,exact_name,Cho tôi thông tin về Sinh tố xoài Hòa Lộc,menu:m_067,
nodia_m_067,m_067,test,no_diacritic,quan co sinh to xoai hoa loc khong,menu:m_067,
exact_m_068,m_068,test,exact_name,Cho tôi thông tin về Nước rau má,menu:m_068,
nodia_m_068,m_068,test,no_diacritic,quan co nuoc rau ma khong,menu:m_068,
exact_m_069,m_069,test,exact_name,Cho tôi thông tin về Sinh tố dâu tây Đà Lạt,menu:m_069,
nodia_m_069,m_069,test,no_diacritic,quan co sinh to dau tay da lat khong,menu:m_069,
exact_m_070,m_070,dev,exact_name,Cho tôi thông tin về Nước mía Sài Gòn,menu:m_070,
nodia_m_070,m_070,dev,no_diacritic,quan co nuoc mia sai gon khong,menu:m_070,
exact_m_071,m_071,test,exact_name,Cho tôi thông tin về Chè khúc bạch,menu:m_071,
nodia_m_071,m_071,test,no_diacritic,quan co che khuc bach khong,menu:m_071,
exact_m_072,m_072,test,exact_name,Cho tôi thông tin về Bánh flan caramel,menu:m_072,
nodia_m_072,m_072,test,no_diacritic,quan co banh flan caramel khong,menu:m_072,
exact_m_073,m_073,test,exact_name,Cho tôi thông tin về Chè bưởi,menu:m_073,
nodia_m_073,m_073,test,no_diacritic,quan co che buoi khong,menu:m_073,
exact_m_074,m_074,dev,exact_name,Cho tôi thông tin về Sương sa hạt lựu,menu:m_074,
nodia_m_074,m_074,dev,no_diacritic,quan co suong sa hat luu khong,menu:m_074,
exact_m_075,m_075,dev,exact_name,Cho tôi thông tin về Chè trôi nước,menu:m_075,
nodia_m_075,m_075,dev,no_diacritic,quan co che troi nuoc khong,menu:m_075,
exact_m_076,m_076,test,exact_name,Cho tôi thông tin về Bánh chuối nướng,menu:m_076,
nodia_m_076,m_076,test,no_diacritic,quan co banh chuoi nuong khong,menu:m_076,
exact_m_077,m_077,test,exact_name,Cho tôi thông tin về Xôi xoài,menu:m_077,
nodia_m_077,m_077,test,no_diacritic,quan co xoi xoai khong,menu:m_077,
exact_m_078,m_078,test,exact_name,Cho tôi thông tin về Đĩa trái cây theo mùa,menu:m_078,
nodia_m_078,m_078,test,no_diacritic,quan co dia trai cay theo mua khong,menu:m_078,
exact_m_079,m_079,test,exact_name,Cho tôi thông tin về Xoài cát Hòa Lộc,menu:m_079,
nodia_m_079,m_079,test,no_diacritic,quan co xoai cat hoa loc khong,menu:m_079,
exact_m_080,m_080,test,exact_name,Cho tôi thông tin về Sầu riêng Ri6,menu:m_080,
nodia_m_080,m_080,test,no_diacritic,quan co sau rieng ri6 khong,menu:m_080,
exact_m_081,m_081,test,exact_name,Cho tôi thông tin về Dưa hấu lạnh,menu:m_081,
nodia_m_081,m_081,test,no_diacritic,quan co dua hau lanh khong,menu:m_081,
exact_m_082,m_082,test,exact_name,Cho tôi thông tin về Bưởi da xanh Bến Tre,menu:m_082,
nodia_m_082,m_082,test,no_diacritic,quan co buoi da xanh ben tre khong,menu:m_082,
exact_m_083,m_083,test,exact_name,Cho tôi thông tin về Thanh long Bình Thuận,menu:m_083,
nodia_m_083,m_083,test,no_diacritic,quan co thanh long binh thuan khong,menu:m_083,
exact_m_084,m_084,test,exact_name,Cho tôi thông tin về Đu đủ chín mật ong,menu:m_084,
nodia_m_084,m_084,test,no_diacritic,quan co du du chin mat ong khong,menu:m_084,
exact_m_085,m_085,dev,exact_name,Cho tôi thông tin về Bia Sài Gòn Special,menu:m_085,
nodia_m_085,m_085,dev,no_diacritic,quan co bia sai gon special khong,menu:m_085,
exact_m_086,m_086,test,exact_name,Cho tôi thông tin về Bia Hà Nội,menu:m_086,
nodia_m_086,m_086,test,no_diacritic,quan co bia ha noi khong,menu:m_086,
exact_m_087,m_087,test,exact_name,Cho tôi thông tin về Bia Tiger Crystal,menu:m_087,
nodia_m_087,m_087,test,no_diacritic,quan co bia tiger crystal khong,menu:m_087,
exact_m_088,m_088,test,exact_name,Cho tôi thông tin về Bia hơi Hà Nội,menu:m_088,
nodia_m_088,m_088,test,no_diacritic,quan co bia hoi ha noi khong,menu:m_088,
exact_m_089,m_089,dev,exact_name,Cho tôi thông tin về Rượu nếp cẩm,menu:m_089,
nodia_m_089,m_089,dev,no_diacritic,quan co ruou nep cam khong,menu:m_089,
exact_m_090,m_090,dev,exact_name,Cho tôi thông tin về Rượu mơ Hà Nội,menu:m_090,
nodia_m_090,m_090,dev,no_diacritic,quan co ruou mo ha noi khong,menu:m_090,
exact_m_091,m_091,test,exact_name,Cho tôi thông tin về Cocktail chanh đào mật ong,menu:m_091,
nodia_m_091,m_091,test,no_diacritic,quan co cocktail chanh dao mat ong khong,menu:m_091,
category_cat_alcohol,category:cat_alcohol,test,category_intent,Gợi ý các món thuộc nhóm Bia & Rượu,menu:m_085;menu:m_086;menu:m_087;menu:m_088;menu:m_089;menu:m_090;menu:m_091,
category_cat_appetizer,category:cat_appetizer,test,category_intent,Gợi ý các món thuộc nhóm Khai vị,menu:m_001;menu:m_002;menu:m_003;menu:m_004;menu:m_005;menu:m_006;menu:m_007,
category_cat_chicken,category:cat_chicken,dev,category_intent,Gợi ý các món thuộc nhóm Món gà,menu:m_036;menu:m_037;menu:m_038;menu:m_039;menu:m_040;menu:m_041;menu:m_042,
category_cat_dessert,category:cat_dessert,test,category_intent,Gợi ý các món thuộc nhóm Tráng miệng,menu:m_071;menu:m_072;menu:m_073;menu:m_074;menu:m_075;menu:m_076;menu:m_077,
category_cat_drink,category:cat_drink,test,category_intent,Gợi ý các món thuộc nhóm Cà phê & Trà,menu:m_057;menu:m_058;menu:m_059;menu:m_060;menu:m_061;menu:m_062;menu:m_063,
category_cat_fruit,category:cat_fruit,test,category_intent,Gợi ý các món thuộc nhóm Trái cây tươi,menu:m_078;menu:m_079;menu:m_080;menu:m_081;menu:m_082;menu:m_083;menu:m_084,
category_cat_hotpot,category:cat_hotpot,test,category_intent,Gợi ý các món thuộc nhóm Lẩu,menu:m_029;menu:m_030;menu:m_031;menu:m_032;menu:m_033;menu:m_034;menu:m_035,
category_cat_juice,category:cat_juice,dev,category_intent,Gợi ý các món thuộc nhóm Nước ép & Sinh tố,menu:m_064;menu:m_065;menu:m_066;menu:m_067;menu:m_068;menu:m_069;menu:m_070,
category_cat_main,category:cat_main,test,category_intent,Gợi ý các món thuộc nhóm Cơm Việt,menu:m_015;menu:m_016;menu:m_017;menu:m_018;menu:m_019;menu:m_020;menu:m_021,
category_cat_noodle,category:cat_noodle,test,category_intent,Gợi ý các món thuộc nhóm Phở & Bún,menu:m_008;menu:m_009;menu:m_010;menu:m_011;menu:m_012;menu:m_013;menu:m_014,
category_cat_regional,category:cat_regional,test,category_intent,Gợi ý các món thuộc nhóm Đặc sản vùng miền,menu:m_043;menu:m_044;menu:m_045;menu:m_046;menu:m_047;menu:m_048;menu:m_049,
category_cat_seafood,category:cat_seafood,test,category_intent,Gợi ý các món thuộc nhóm Hải sản,menu:m_022;menu:m_023;menu:m_024;menu:m_025;menu:m_026;menu:m_027;menu:m_028,
category_cat_vegetarian,category:cat_vegetarian,dev,category_intent,Gợi ý các món thuộc nhóm Món chay,menu:m_050;menu:m_051;menu:m_052;menu:m_053;menu:m_054;menu:m_055;menu:m_056,
sem_001,m_008,dev,semantic_paraphrase,"Tôi muốn món nước nóng có thịt bò, nhẹ bụng nhưng vẫn đủ no",menu:m_008,
sem_002,m_060,test,semantic_paraphrase,Có thức uống mát nào vừa có cam vừa thơm mùi sả không?,menu:m_060,
sem_003,m_053,test,semantic_paraphrase,Tìm giúp món chay dạng canh thanh mát có rau củ,menu:m_053,
sem_004,m_056,test,semantic_paraphrase,Tôi muốn món chay dạng nước có vị sả ớt kiểu Huế,menu:m_056,
sem_005,m_059,dev,semantic_paraphrase,"Đồ uống kiểu Sài Gòn nhiều sữa, chỉ có một chút cà phê",menu:m_059,
sem_006,m_044,test,semantic_paraphrase,Món sợi dai đặc sản Hội An ăn cùng thịt xá xíu,menu:m_044,
sem_007,m_041,test,semantic_paraphrase,"Món gà nước thanh, mềm và phù hợp cho người lớn tuổi",menu:m_041,
sem_008,m_025,test,semantic_paraphrase,Hải sản sốt chua ngọt có thể ăn kèm bánh mì nóng,menu:m_025,
sem_009,m_048,test,semantic_paraphrase,Buổi tối muộn tôi muốn một món cháo nóng có lòng heo,menu:m_048,
sem_010,m_071,test,semantic_paraphrase,Tráng miệng lạnh có hạnh nhân và vải thiều,menu:m_071,
sem_011,m_064,dev,semantic_paraphrase,Cho tôi nước trái cây nguyên chất không thêm đường,menu:m_064,
sem_012,m_038,test,semantic_paraphrase,Món gà chiên giòn vị nước mắm phù hợp cho trẻ em,menu:m_038,
sem_013,m_031,test,semantic_paraphrase,Nhóm tôi muốn ăn lẩu hoàn toàn không có thịt,menu:m_031,
sem_014,m_030,test,semantic_paraphrase,Đi bốn người muốn ăn lẩu bò có vị chua dịu,menu:m_030,
sem_015,m_088,test,semantic_paraphrase,Thức uống lên men bình dân đặc trưng Hà Nội,menu:m_088,
sem_016,m_090,dev,semantic_paraphrase,Loại rượu vị chua ngọt thanh nên uống lạnh,menu:m_090,
sem_017,m_052,test,semantic_paraphrase,"Món cuốn không thịt có đậu hũ, rau thơm và bơ",menu:m_052,
sem_018,m_058,dev,semantic_paraphrase,Cà phê béo có lớp kem trứng phía trên,menu:m_058,
pol_001,policy:ai_role,test,policy_paraphrase,Bạn chốt đơn rồi gửi xuống bếp giúp mình nhé,policy:ai_role,CUSTOMER_CONFIRMATION_REQUIRED
pol_002,policy:ai_role,test,policy_paraphrase,AI có thể tự mua và trả tiền hộ tôi không?,policy:ai_role,CUSTOMER_CONFIRMATION_REQUIRED
pol_003,policy:ordering_scope,test,policy_paraphrase,Tôi đặt đồ rồi ghé quán lấy sau được không?,policy:ordering_scope,
pol_004,policy:payment,test,policy_paraphrase,Ở đây trả tiền theo những cách nào?,policy:payment,
pol_005,policy:opening_hours,test,policy_paraphrase,Tối muộn khoảng mười giờ quán còn phục vụ chứ?,policy:opening_hours,
pol_006,policy:wifi,dev,policy_paraphrase,Trong quán có mạng miễn phí để dùng không?,policy:wifi,
pol_007,policy:parking,test,policy_paraphrase,Nếu đi ô tô thì tôi để xe chỗ nào?,policy:parking,
pol_008,policy:reservation,dev,policy_paraphrase,Nhóm tôi muốn giữ chỗ trước cho tối nay,policy:reservation,
pol_009,policy:cancel_order,test,policy_paraphrase,Món đã gửi xuống bếp rồi có đổi lại được không?,policy:cancel_order,
pol_010,policy:allergen_safety,test,policy_paraphrase,"Tôi dị ứng nặng, thông tin thành phần trên menu có bảo đảm tuyệt đối không?",policy:allergen_safety,
multi_001,multi_001,test,multi_intent,Quán có WiFi không và cho tôi xem phở bò tái nạm,policy:wifi;menu:m_008,
multi_002,multi_002,test,multi_intent,"Thanh toán bằng VietQR thế nào, và quán có cơm chay không?",policy:payment;menu:m_051,
multi_003,multi_003,test,multi_intent,Tôi đậu ô tô ở đâu và có bia Hà Nội không?,policy:parking;menu:m_086,
multi_004,multi_004,test,multi_intent,Quán mở đến mấy giờ và còn trà sen Tây Hồ chứ?,policy:opening_hours;menu:m_061,
neg_001,negative_weather,dev,hard_negative,Hôm nay trời có mưa không?,,OUT_OF_SCOPE
neg_002,negative_code,dev,hard_negative,Viết cho tôi một chương trình Python,,OUT_OF_SCOPE
neg_003,negative_stock,test,hard_negative,Giá cổ phiếu hôm nay tăng hay giảm?,,OUT_OF_SCOPE
neg_004,negative_math,test,hard_negative,Giải phương trình bậc hai giúp tôi,,OUT_OF_SCOPE
neg_005,negative_football,test,hard_negative,Đội bóng nào vô địch mùa này?,,OUT_OF_SCOPE
neg_006,negative_crypto,test,hard_negative,Có nên mua bitcoin bây giờ không?,,OUT_OF_SCOPE
neg_007,negative_homework,test,hard_negative,Làm bài tập lịch sử cho tôi,,OUT_OF_SCOPE
neg_008,negative_news,test,hard_negative,Tóm tắt tin tức quốc tế mới nhất,,OUT_OF_SCOPE
